label,sentence
1, 2 . take around 10000 640x480 pictures .
1, i downloaded a trial version of computer associates ez firewall and antivirus and fell in love with a computer security system all over again .
1, the wrt54g plus the hga7t is a perfect solution if you need wireless coverage in a wider area or for a hard-walled house as was my case .
0, i dont especially like how music files are unstructured ; basically they are just dumped into one folder with no organization  like you might have in windows explorer folders and subfolders .
1, i was using the cheapie pail ... and it worked ok until the opening device fell apart .
1, you can manage your profile  change the contrast of backlight  make different type of display  either list or tabbed . 
1, 11 ) minimal pause between songs - less than that on other devices - good achievement for a hard-drive based player 
1, from the internet  woodworking books  local stores and personal opinions the hitachi m12v 3-1 / 4 hp router time and time again came up to be the router of choice or best for its price .
1, i loved this product when i first got it - great sound  easy to use ( even though i agree that the software was n't the best ) and held enough songs to suit any mood . 
1, whether you are using disposable or cloth diapers  this is the truly the only diaper pail to get !
1, takes excellent photos . 
1, it 's easy enough to pop it open to see what song you 're listening to . 
0, it has a 3x optical zoom  which is average for these cameras . 
1, i love this phone .
0, i tried to call norton  and the only numbers they list on their sites are either for non-tech customer service ( tried this one and hung up after 75 minute of muzac ) or they have a $ 30 tech-support number .
0, i replaced it with a router raizer and it works much better .
1, it 's being used daily and i have had none of the problems reported by other reviewers ( headphone jack  player locking up  etc ) .
1, the software has been installed on windows 95  98  2000 and xp and i haven 't had any problems with it .
1, another thing i like about this camera is the way that you can swap colors around and the impressive video quality i would advise any person in the market for a camera to pay the little extra on the hefty $ 500 price tag and get a quality camera .
1, it looks very cool  and seems quite small to me and very light . 
0, one little minor flaw with this camera is that the lens is visible in the viewfinder  but does not detract from the image at all . 
0, i 've had this thing just over a month and the headphone jack has already come loose . 
0, do n't buy this player . 
0, size - bigger than the ipod 
0, the creative mediasource software that comes with the zen micro is cluttered  and excludes my favorite feature in itunes  the ability to automatically copy everything you import into a certain folder .
1, considering the price and specs  this might be the best buy out there for a large memory mp3 player . 
0, the grain was terrible . 
0, another problem i had with this camera was the zoom function .
1, bottom line : if you value excellent sound quality and the ability to use music subscription services  and are willing to deal with the possibility ( not the certainty ) of setup gremlins  by all means get the zen micro .
1, this camera is great  wonderfully small  and has attactive hi-tech casing .
0, i know the saying is " you get what you pay for " but at this stage of game dvd players must have better quality than this - there is no excuse . 
1, as i mentioned before  the creative mediasource software is actually really robust despite what others have said  though notmad may still work better . 
1, it has a clear blue light that allows you to see everything on the screen easily . 
1, the fact that you can assign ringtones to people and / or groups is really cool .
0, avoid this product at all costs .
1, 2 ) the player user interface ( ui ) is intuitive to use  and allows easy navigation of a large or small collection . 
1, awesome camera with huge print quality in a tiny package . 
1, nokia and t-mobile really teamed up well on this baby . 
1, smooth plunging ! ( it did stick a bit so i sprayed it w / lubricant .
0, -- > does not recognize player at random times  despite being connected and displaying player 's library . 
1, the height adjustment knob is a bit flimsy  but it works well and provides good accuracy .
0, the customer support is pathetic .
1, mine is as easy to use as the mini without any firmware download .
1, right out of the box  i loved it  better features than the ipod  great sound quality and no limitations on what music sources i can use .
0, i was having intermittent problems with it losing connection .
1, it works with a minimum of fuss .
0, there were many times when i clicked the automatic shutter and nothing happens .
1, the prints are beautiful ! 
1, finding all the albums  songs etc is much easier than you would think it would be even if you have 20 gig ( well 18 gig ) worth of music .
1, what makes the focus-lock lag time something i can live with is the extreme depth of field obtainable with these point and shoot digicams at f8 . 
0, however  the calls constantly drop in my area and i experince mega-static  to the point where i 'd have to dial numbers 6-7 times to get a clear line . 
1, just want a wireless router for home or your very small business  you can just get a wrt54g from here and configure it .
1, what i really like about- its quite  it can handle my workload and it was so cheap that i can throw it away and buy another one without blinking .
1, i just received my 40gb zen xtra yesterday and i 'm extremely pleased with it . 
1, it makes the nomad i purchase feel and look like junk .
1, i have had the phone for 1 week  the signal quality has been great in the detroit area ( suburbs ) and in my recent road trip between detroit and northern kentucky ( cincinnati ) i experienced perfect signal and reception along i-75  far superior to at &#38; t 's which does not work along several long stretches on that same route . 
1, the screen is large and bright and has all the info i need where i need it . 
0, sometimes a suite is not a good deal and all you get is a bundle of headaches .
0, whatever ... on to the negatives : -touchy about charging ... you can damage the battery and seriously decrease it 's life if you don 't upgrade the firmware or dont ' heed the advice to always plug in the player side of the cord before plugging in the outlet side .
1, it has a classic design yet looks hip . 
1, sound : this is where i love zen the most .
